CODREG;REG;NBARR;NBCAN;NBCOM;PMUN;PTOT
01;Guadeloupe;2;21;32;384239;389995
02;Martinique;4;NA;34;364508;369406
03;Guyane;2;NA;22;281678;284085
04;La Réunion;4;25;24;861210;870870
11;Île-de-France;25;155;1268;12262544;12377425
24;Centre-Val de Loire;20;102;1757;2573180;2631844
27;Bourgogne-Franche-Comté;24;152;3702;2805580;2879404
28;Normandie;17;131;2652;3325032;3397352
32;Hauts-de-France;26;145;3789;6004947;6097057
44;Grand Est;38;200;5121;5556219;5663885
52;Pays de la Loire;16;107;1236;3806461;3897140
53;Bretagne;15;102;1208;3354854;3444645
75;Nouvelle-Aquitaine;41;258;4313;6010289;6148663
76;Occitanie;36;249;4454;5933185;6057827
84;Auvergne-Rhône-Alpes;39;242;4030;8042936;8216740
93;Provence-Alpes-Côte d'Azur;18;126;946;5081101;5157222
94;Corse;5;26;360;340440;345638
